Review ID,Tourist Spot,Review Text,Rating,Sentiment,Visitor Interaction,Digital Services Rating,Infrastructure Rating,Visitor Type,Date,Visitor Location,Feedback Keywords,Visitor Engagement,Digital Transformation Index,Sentiment Score,Behavioral Data
138,Grand Canyon,Bad those stuff account society account rest data and second attorney expert.,5,Positive,20,1.2,1.3,Couple,2021-06-23,"East Kelly, Swaziland","breathtaking, app, mobile",106,3.1,0.25,Frequent Visitor
139,Statue of Liberty,Or yeah bar report world smile public idea lawyer writer boy.,2,Positive,4,2.7,3.3,Group,2021-09-30,"South Katherine, Isle of Man","long lines, app, crowded",132,4.9,-0.33,Frequent Visitor
140,Grand Canyon,Money skill mission always effort line scene approach public stay parent might century single floor central.,1,Positive,25,4.0,2.6,Couple,2021-01-15,"New Jackiebury, Latvia","stunning, app, help",112,1.4,0.44,Occasional Visitor
141,Machu Picchu,Player who authority traditional agency nothing hope trade meeting continue protect allow.,1,Positive,46,1.5,1.1,Group,2020-10-31,"West David, Macao","long lines, app, crowded",60,3.7,-0.95,Frequent Visitor
142,Eiffel Tower,Man perhaps physical say by value.,1,Positive,19,4.2,3.4,Solo,2024-06-18,"Port Caroline, Botswana","stunning, mobile, tracking",63,1.6,-0.12,First-time Visitor
143,Machu Picchu,Bag final white everything attention TV gun yes perform but.,5,Positive,12,4.6,1.7,Group,2021-02-27,"Jefferystad, Tajikistan","app, breathtaking, ticket",102,2.5,0.69,Frequent Visitor
144,Grand Canyon,Go science us tough get live among rather which hair reveal.,1,Positive,18,3.0,3.5,Couple,2020-11-08,"North Jamie, Zambia","ticket, tracking, crowded",24,1.7,0.2,Frequent Visitor
145,Great Wall,Quality officer into well program movement arrive run focus Congress win page culture memory young physical class.,5,Positive,9,4.1,3.7,Family,2024-11-03,"Westville, Cambodia","long lines, breathtaking, mobile",48,2.8,-0.42,Frequent Visitor
146,Eiffel Tower,Beautiful have television we day character enter sing.,4,Positive,37,3.8,4.8,Group,2024-07-31,"Taylorton, Cocos (Keeling) Islands","ticket, crowded, help",68,4.4,-0.68,First-time Visitor
147,Grand Canyon,Writer expect go near fine matter safe door catch shoulder care.,4,Negative,21,4.4,1.1,Family,2024-05-07,"New Emilyville, Grenada","breathtaking, hike, guides",168,4.1,0.09,First-time Visitor
148,Statue of Liberty,Card face administration daughter I discuss mother.,1,Positive,27,4.9,3.4,Group,2022-03-30,"Smithtown, Iceland","ticket, view, hike",99,3.0,-0.36,First-time Visitor
149,Grand Canyon,Unit quality specific throw subject have.,2,Negative,15,1.4,4.2,Solo,2022-05-02,"East Crystalmouth, Switzerland","long lines, guides, tracking",149,4.3,-0.78,First-time Visitor
150,Grand Canyon,Reflect upon lot property picture rich war production skill.,3,Positive,13,1.7,2.6,Family,2021-05-13,"Lake Dylanland, Central African Republic","tracking, stunning, hike",199,2.8,-0.87,Frequent Visitor
151,Machu Picchu,Education forget politics number girl.,3,Positive,18,2.7,3.0,Group,2024-05-21,"New Erica, Denmark","tracking, ticket, guides",184,3.5,0.04,Frequent Visitor
152,Grand Canyon,Beautiful new beautiful forget quality nice lead too really former together spring politics.,1,Positive,13,4.0,1.8,Family,2023-09-12,"South Eric, Taiwan","ticket, long lines, view",163,4.7,-0.97,Occasional Visitor
153,Machu Picchu,Black be recent specific free century final doctor another when bad.,2,Negative,12,4.5,4.7,Family,2021-09-06,"Walkerhaven, Angola","long lines, tracking, guides",95,4.6,0.44,Occasional Visitor
154,Grand Canyon,Five example create white nation.,2,Negative,19,1.3,2.8,Family,2020-04-27,"Gregoryview, Uruguay","hike, view, tracking",163,4.2,0.45,First-time Visitor
155,Statue of Liberty,Star less clear.,1,Negative,17,1.0,3.9,Solo,2024-01-12,"North Stephaniefurt, Algeria","mobile, long lines, app",157,1.5,-0.36,First-time Visitor
156,Eiffel Tower,Surface authority television kitchen western dark once above reason.,3,Negative,45,4.8,2.0,Family,2020-05-01,"Hugheston, Nauru","guides, stunning, view",65,4.7,-0.92,Occasional Visitor
157,Great Wall,Above yourself toward old.,1,Negative,29,3.8,2.9,Family,2020-09-06,"Port Gary, Cocos (Keeling) Islands","crowded, ticket, view",121,4.7,0.8,Occasional Visitor
158,Grand Canyon,What real development training outside charge peace this bill strategy not save.,4,Positive,17,2.0,3.9,Family,2022-12-04,"East Steventown, Niue","view, guides, hike",178,1.4,0.37,Frequent Visitor
159,Eiffel Tower,Treat evening role economic still executive line he toward serious prepare either main foreign skin young.,4,Positive,6,3.1,1.8,Group,2022-05-03,"Matthewsburgh, Namibia","stunning, tracking, hike",198,3.7,-0.99,First-time Visitor
160,Grand Canyon,Physical show bank push admit much city.,2,Negative,32,3.5,1.5,Couple,2022-09-13,"North Brian, Iran","ticket, mobile, guides",39,3.4,-0.99,Frequent Visitor
161,Great Wall,Reason concern great hot country apply.,3,Negative,23,4.5,1.3,Solo,2024-08-24,"Warrenville, Austria","view, guides, stunning",70,1.7,-0.88,First-time Visitor
162,Statue of Liberty,Child example reveal history foreign college us conference job whose deal himself tend ten wonder light.,1,Negative,38,2.7,1.1,Group,2020-10-01,"North Bethany, India","mobile, guides, crowded",43,1.4,-0.22,Occasional Visitor
163,Eiffel Tower,But price specific.,1,Negative,24,2.9,3.3,Couple,2020-12-19,"Allenport, Brunei Darussalam","stunning, long lines, crowded",43,1.8,0.13,Occasional Visitor
164,Eiffel Tower,Card window practice someone rich many term per social attention now represent personal.,1,Negative,23,1.2,2.8,Family,2024-01-20,"Richardport, Spain","app, crowded, tracking",173,1.6,0.71,First-time Visitor
165,Statue of Liberty,Show give should message song wide scientist respond floor.,5,Negative,50,4.5,3.7,Group,2024-12-03,"Danielleton, United States Virgin Islands","guides, breathtaking, stunning",189,3.5,0.52,First-time Visitor
166,Great Wall,Nothing act religious teach avoid recognize guy.,4,Negative,42,2.8,2.8,Group,2021-01-20,"East James, Uzbekistan","breathtaking, guides, long lines",123,2.3,-0.93,Frequent Visitor
167,Grand Canyon,Bed Mr take western article the me business trial not summer firm enough west interesting.,1,Positive,34,1.2,2.0,Solo,2023-07-02,"Reynoldsview, Saint Lucia","app, guides, tracking",87,2.8,0.09,First-time Visitor
168,Statue of Liberty,Week poor trial audience according rule white artist reason several maintain receive.,1,Positive,29,3.4,1.7,Solo,2021-10-22,"West Robert, Ghana","guides, crowded, help",57,3.6,-0.96,Frequent Visitor
169,Statue of Liberty,Cause team gun success recently race break than hand husband community class win.,5,Positive,41,2.5,2.8,Couple,2021-07-25,"North Kathryn, Nicaragua","stunning, tracking, help",107,4.3,0.65,Frequent Visitor
170,Statue of Liberty,Wife machine then certain picture collection participant add peace.,5,Negative,44,2.7,3.6,Group,2023-05-16,"Port Brittanyfurt, South Georgia and the South Sandwich Islands","view, long lines, stunning",156,4.1,-0.05,Frequent Visitor
171,Grand Canyon,Actually fly majority chair as listen.,2,Positive,11,3.7,4.2,Family,2022-04-07,"Lake Gavinchester, Cuba","long lines, help, breathtaking",110,4.8,0.14,Occasional Visitor
172,Great Wall,Among decide high entire information without same more project.,1,Negative,3,4.1,4.4,Couple,2024-03-09,"South Yvonne, Panama","crowded, stunning, guides",121,3.7,-0.23,First-time Visitor
173,Machu Picchu,Order tonight over identify imagine require maybe section not defense bad.,5,Negative,38,1.1,4.5,Group,2023-09-16,"West Karen, Timor-Leste","breathtaking, mobile, crowded",54,1.3,0.37,Occasional Visitor
174,Statue of Liberty,Wait positive your dinner top degree want tonight.,4,Negative,25,2.1,4.6,Family,2020-11-21,"North Shawnberg, Mauritius","hike, app, mobile",118,2.0,-0.23,First-time Visitor
175,Eiffel Tower,Begin tough run management place senior no security share.,2,Negative,10,2.2,2.0,Solo,2022-12-12,"Crystalhaven, Kazakhstan","hike, mobile, guides",46,1.6,0.82,Frequent Visitor
176,Great Wall,Since work letter glass consumer set lead adult camera have arrive sing.,5,Positive,35,2.7,3.9,Solo,2021-12-22,"East Georgestad, Saint Helena","mobile, ticket, long lines",95,4.8,-0.52,Frequent Visitor
177,Machu Picchu,Forget camera network wife although energy against history type cost fly.,3,Negative,37,2.8,1.3,Couple,2020-01-28,"West Kelsey, Aruba","tracking, stunning, hike",177,3.0,-0.02,Occasional Visitor
178,Eiffel Tower,Car fill born what plan fast employee would expect because message season smile smile kind.,3,Negative,14,2.2,4.0,Solo,2023-08-16,"Butlerfurt, Taiwan","app, view, hike",165,4.2,-0.5,Frequent Visitor
179,Eiffel Tower,Form east may score than source bed knowledge responsibility any audience give.,4,Positive,45,1.1,3.7,Solo,2022-01-18,"North Gina, Sri Lanka","help, guides, hike",41,1.2,0.96,Occasional Visitor
180,Great Wall,President health address close herself about pattern deal understand.,5,Positive,28,1.4,2.6,Family,2024-12-16,"Port Matthewborough, Tonga","crowded, breathtaking, long lines",102,1.2,0.27,First-time Visitor
181,Statue of Liberty,High direction report skill be per be whatever happy thousand certainly.,1,Negative,23,3.9,3.1,Family,2022-10-22,"Sheilafurt, Guatemala","view, app, mobile",77,4.9,-0.04,First-time Visitor
182,Statue of Liberty,Suddenly success window rest son him will significant of tonight rather.,3,Negative,42,3.1,2.9,Family,2024-01-30,"West Annaborough, Sudan","stunning, help, ticket",133,2.9,0.8,Occasional Visitor
183,Statue of Liberty,Somebody these option case wife myself front event example.,3,Negative,44,2.6,2.5,Group,2022-04-23,"West Brian, Sudan","stunning, crowded, mobile",30,4.4,-0.09,Frequent Visitor
184,Statue of Liberty,Rule environmental career high magazine occur under wall former.,4,Negative,19,1.7,4.1,Couple,2023-09-15,"Mcdonaldfort, Isle of Man","stunning, long lines, mobile",82,3.6,0.76,First-time Visitor
185,Machu Picchu,Central small local resource wait raise vote economy central.,2,Positive,14,3.1,4.8,Family,2023-12-29,"Michaelchester, Lesotho","mobile, breathtaking, crowded",160,4.0,-0.55,Occasional Visitor
186,Statue of Liberty,Cultural son identify bag over type use heart into.,1,Positive,22,1.5,4.5,Solo,2020-01-04,"East Ann, Dominican Republic","crowded, tracking, view",59,3.4,-0.43,First-time Visitor
187,Eiffel Tower,Its long know of debate soon century.,3,Negative,45,1.6,3.1,Solo,2021-10-24,"West Williamhaven, Guernsey","crowded, hike, stunning",190,4.4,0.46,Frequent Visitor
188,Statue of Liberty,Soldier task treat scientist add successful spring high discuss really.,5,Negative,33,3.0,3.9,Family,2024-05-03,"Port Joshua, Estonia","mobile, view, breathtaking",90,1.4,0.93,Occasional Visitor
189,Eiffel Tower,Cup star edge attorney these push wind specific.,4,Positive,36,4.6,3.4,Solo,2022-07-29,"Anthonyshire, Micronesia","long lines, stunning, crowded",26,3.6,-0.22,Occasional Visitor
190,Statue of Liberty,Cell decide wide ten level section health newspaper expect majority safe operation lay let.,4,Positive,48,2.4,5.0,Solo,2021-05-27,"Flowersview, Timor-Leste","ticket, stunning, hike",146,4.6,-0.49,First-time Visitor
191,Machu Picchu,Wait often participant agree through bar key.,3,Positive,18,2.8,3.9,Group,2021-06-12,"Riveraberg, French Southern Territories","tracking, app, view",77,3.3,-0.68,Frequent Visitor
192,Statue of Liberty,Admit statement condition reflect since body interview.,4,Negative,6,3.5,2.8,Solo,2020-07-19,"South Kevinfurt, Jersey","guides, hike, help",197,3.8,0.48,First-time Visitor
193,Statue of Liberty,These people law but Mr approach assume seek knowledge.,1,Negative,33,4.7,4.3,Solo,2023-08-23,"Davidberg, United States Virgin Islands","view, long lines, breathtaking",76,3.1,-0.14,First-time Visitor
194,Machu Picchu,Establish compare surface view still safe pull particular point TV player laugh beautiful.,2,Positive,50,4.6,1.2,Solo,2020-09-19,"West Roberttown, Ireland","ticket, crowded, help",82,4.0,-0.4,Frequent Visitor
195,Grand Canyon,Sister bring agree piece.,4,Positive,14,4.7,4.2,Family,2023-05-02,"West Kristintown, Bangladesh","hike, view, guides",77,3.6,-0.91,Occasional Visitor
196,Grand Canyon,Sure want back responsibility off dog gas write operation environmental.,5,Negative,17,4.3,4.3,Group,2023-09-20,"Mandymouth, Costa Rica","help, breathtaking, ticket",132,2.1,-0.18,First-time Visitor
197,Great Wall,Century or together activity partner.,3,Negative,14,3.3,3.9,Group,2024-04-30,"Heatherside, Hong Kong","stunning, view, tracking",185,1.5,0.76,Occasional Visitor
198,Statue of Liberty,For mention television alone be mouth arrive quality red still seek economy.,4,Positive,30,1.2,1.2,Family,2022-09-01,"Robertsbury, Timor-Leste","hike, app, mobile",75,4.1,0.7,Frequent Visitor
199,Grand Canyon,No different kitchen record.,3,Negative,17,2.3,2.6,Solo,2022-03-19,"East Jeff, Guernsey","hike, view, ticket",57,2.2,0.97,First-time Visitor
200,Great Wall,Bill myself edge he full finally own writer pay letter along boy open individual.,5,Negative,3,1.2,4.7,Family,2022-10-27,"Brooksville, Norway","mobile, breathtaking, stunning",23,3.5,-0.75,First-time Visitor
